name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T00:00:00,25.1,25.1,20.9,77.54,0,0,,0,0,12.6,3,356,1013.1,52,10,0,0,0,60,Partially cloudy,partly-cloudy-night,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T01:00:00,25.1,25.1,20.7,76.74,0,0,,0,0,14.8,4.9,251,1013,88,10,0,0,0,60,Partially cloudy,partly-cloudy-night,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T02:00:00,25,25,20.6,76.83,0,0,,0,0,20.9,8.5,228,1012.8,88,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T03:00:00,24.2,24.2,21.3,83.54,0,0,,0,0,24.1,7.7,220,1012.1,88,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T04:00:00,24.2,24.2,21.1,82.64,0,0,,0,0,24.1,4.1,34,1012.1,88,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T05:00:00,23.8,23.8,20.4,81.19,0,0,,0,0,19.1,7.4,277,1012.8,88,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T06:00:00,23.8,23.8,20.3,80.71,0,0,,0,0,19.4,9.9,248,1012.8,88,10,0,0,0,15,Partially cloudy,partly-cloudy-night,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T07:00:00,23.7,23.7,19.6,77.84,0,0,,0,0,25.9,11.4,289,1013,88,10,1,0,0,5,Partially cloudy,partly-cloudy-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T08:00:00,25.2,25.2,18.6,66.67,0,0,,0,0,31.7,13.3,267,1013.9,25,10,26,0.1,0,8,Partially cloudy,partly-cloudy-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T09:00:00,27.3,28.2,18.3,57.94,0,0,,0,0,38.9,12.8,277,1014,0,10,99,0.4,1,8,Clear,clear-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T10:00:00,28.9,29.7,17.8,51.09,0,0,,0,0,51.8,17.8,257,1014,0,10,187,0.7,2,3,Clear,clear-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T11:00:00,30.2,30.7,17,45.13,0,0,,0,0,44.3,21.1,266,1013.8,0,10,294,1.1,3,10,Clear,clear-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T12:00:00,31.7,32,16.6,40.37,0,0,,0,0,45.7,27.9,267,1014,0,10,397,1.4,4,10,Clear,clear-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T13:00:00,33.2,32.9,15.2,33.93,0,0,,0,0,50.4,28.7,288,1013,0,10,473,1.7,5,10,Clear,clear-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T14:00:00,32.8,32.5,15.1,34.42,0,0,,0,0,53.3,34.1,257,1013.1,0,10,483,1.7,5,10,Clear,clear-day,"LFMD,E8668,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T15:00:00,34.5,33.6,13.4,28.09,0,0,,0,0,56.5,27.2,281,1012.9,0,10,464,1.7,5,10,Clear,clear-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T16:00:00,34.4,33.9,14.5,30.18,0,0,,0,0,37.1,28.1,286,1013,75.8,10,411,1.5,4,10,Partially cloudy,partly-cloudy-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T17:00:00,34.4,33.5,13.4,28.35,0,0,,0,0,60.5,27.2,282,1013,25,9.7,291,1,3,10,Partially cloudy,partly-cloudy-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T18:00:00,32.9,31.5,11.7,27.47,0,0,,0,0,60.5,27.9,289,1013,100,9.7,157,0.6,2,10,Overcast,cloudy,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T19:00:00,31.2,29.7,9.9,26.88,0,0,,0,0,55.4,29.6,317,1013,100,9.9,60,0.2,1,10,Overcast,cloudy,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T20:00:00,30.2,28.8,9.7,28.06,0,0,,0,0,48.6,23.2,295,1013.1,39.3,10,22,0.1,0,10,Partially cloudy,partly-cloudy-day,"LFMD,E8668,LFMC,LFML,LFTH"
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T21:00:00,26.5,26.5,5.5,26.1,0,0,,0,0,39.6,15.5,294.1,1014,67.3,24.1,59,0.2,1,10,Partially cloudy,partly-cloudy-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T22:00:00,24.1,24.1,6.6,32.48,0,0,,0,0,31,11.2,287.7,1015,0,24.1,1,0,0,10,Clear,clear-night,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-13T23:00:00,21.9,21.9,6.5,36.85,0,0,,0,0,23.4,7.9,281.9,1015,0,24.1,0,0,0,10,Clear,clear-night,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T00:00:00,19.9,19.9,6.4,41.39,0,0,,0,0,15.8,6.1,270.2,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T01:00:00,18.5,18.5,6.1,44.24,0,0,,0,0,15.1,7.6,254.5,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T02:00:00,17.3,17.3,5.8,46.73,0,0,,0,0,15.5,6.5,252.8,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T03:00:00,15.7,15.7,6.2,53.19,0,0,,0,0,13.7,5,249.9,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T04:00:00,14.4,14.4,6.6,59.45,0,0,,0,0,11.2,5.4,250.7,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T05:00:00,13.5,13.5,6.6,63.02,0,0,,0,0,11.9,6.1,244.1,1016,0,24.1,0,0,0,10,Clear,clear-night,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T06:00:00,13.2,13.2,6.4,63.39,0,0,,0,0,12.2,6.1,245.5,1017,7.6,24.1,0,0,0,10,Clear,clear-night,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T07:00:00,13.7,13.7,6.6,62.21,0,0,,0,0,12.6,6.1,250.5,1017,0,24.1,26,0.1,0,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T08:00:00,18,18,8.4,53.43,0,0,,0,0,12.6,5,255.8,1017,0,24.1,163,0.6,2,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T09:00:00,22.8,22.8,8.7,40.54,0,0,,0,0,12.6,4.3,270.3,1017,0,24.1,337,1.2,3,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T10:00:00,26.8,26.4,9.1,32.8,0,0,,0,0,11.5,1.8,293.4,1016,0,24.1,524,1.9,5,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T11:00:00,29.9,28.2,6.6,23.1,0,0,,0,0,8.3,1.8,275,1016,0,24.1,687,2.5,7,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T12:00:00,32.1,30,6.2,19.82,0,0,,0,0,10.4,2.9,269.8,1016,0,24.1,816,2.9,8,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T13:00:00,33.9,31.7,7.2,19.19,0,0,,0,0,10.4,2.2,198,1016,0,24.1,898,3.2,9,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T14:00:00,34.3,32.1,6.9,18.38,0,0,,0,0,31,14,171.8,1015,3.9,24.1,934,3.4,9,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T15:00:00,34,32.5,11.5,25.48,0,0,,0,0,35.6,15.5,163.2,1015,0,24.1,913,3.3,9,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T16:00:00,34.1,33,12.8,27.6,0,0,,0,0,36,16.9,164.6,1014,0.7,24.1,838,3,8,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T17:00:00,33.7,32.4,12.1,26.96,0,0,,0,0,36.4,16.6,178.3,1014,0,24.1,719,2.6,7,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T18:00:00,32.4,30.9,11.3,27.51,0,0,,0,0,35.6,16.2,184,1014,0,24.1,567,2,6,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T19:00:00,30.5,29.4,12.3,32.74,0,0,,0,0,34.6,14.4,175.9,1015,0,24.1,394,1.4,4,5,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T20:00:00,28.3,27.9,13.4,39.95,0,0,,0,0,30.6,12.6,170.9,1015,28.8,24.1,217,0.8,2,5,Partially cloudy,partly-cloudy-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T21:00:00,26,26,14,47.54,0,0,,0,0,25.6,4.7,157.9,1015,12.2,24.1,61,0.2,1,10,Clear,clear-day,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T22:00:00,23.5,23.5,14.6,57.39,0,0,,0,0,8.6,2.9,139.7,1016,81.4,24.1,1,0,0,10,Partially cloudy,partly-cloudy-night,
"Cotignac, Provence-Alpes-Côte d'Azur, France",2023-07-14T23:00:00,21.7,21.7,14.6,64.01,0,0,,0,0,4,2.5,202.4,1016,73.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
