name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T00:00:00,17.3,17.3,13.1,76.08,0,0,,0,0,7.9,6.2,259,1025.1,100,10,0,0,0,10,Overcast,cloudy,"EBCV,EBCI,EBAW,LFQQ,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T01:00:00,16.7,16.7,13.2,79.66,0,0,,0,0,7.9,5.5,218,1025.1,100,10,0,0,0,10,Overcast,cloudy,"EBCV,EBCI,EBAW,LFQQ,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T02:00:00,15.8,15.8,12.7,81.87,0,0,,0,0,7.2,6.5,233,1025.1,100,10,0,0,0,10,Overcast,cloudy,"EBCV,EBCI,EBAW,LFQQ,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T03:00:00,14.9,14.9,12,82.56,0,0,,0,0,7.6,6.7,216,1025.1,100,10,0,0,0,10,Overcast,cloudy,"EBCV,EBCI,EBAW,LFQQ,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T04:00:00,13.9,13.9,11.8,86.79,0,0,,0,0,7.9,7.7,209,1025.1,100,10,0,0,0,10,Overcast,cloudy,"EBCV,EBCI,EBAW,LFQQ,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T05:00:00,12.9,12.9,11.3,90.28,0,0,,0,0,7.6,6.8,210,1025.1,100,10,0,0,0,10,Overcast,cloudy,"EBCV,EBCI,EBAW,LFQQ,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T06:00:00,13.4,13.4,11.2,86.76,0,0,,0,0,7.2,5.8,202,1025.1,100,10,14,0.1,0,10,Overcast,cloudy,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T07:00:00,14.4,14.4,12.5,88.12,0,0,,0,0,7.6,8.7,209,1025.1,0,10,127,0.5,1,10,Clear,clear-day,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T08:00:00,16.4,16.4,13.1,81.03,0,0,,0,0,12.6,7.8,221,1025.1,0,10,260,0.9,3,10,Clear,clear-day,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T09:00:00,18.1,18.1,12.6,69.98,0,0,,0,0,17.3,8.6,247,1025.8,0,10,413,1.5,4,10,Clear,clear-day,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T10:00:00,19.7,19.7,12.9,64.67,0,0,,0,0,19.8,7.5,237,1025.8,0,10,498,1.8,5,10,Clear,clear-day,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T11:00:00,21.3,21.3,11.5,53.47,0,0,,0,0,20.2,8,236,1025.1,0,10,534,1.9,5,10,Clear,clear-day,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T12:00:00,23.2,23.2,12.6,51.1,0,0,,0,0,19.1,8.5,240,1025.1,10.2,10,719,2.6,7,10,Clear,clear-day,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T13:00:00,23.6,23.6,11.8,47.75,0,0,,0,0,18.7,8.2,235,1024.8,14.3,10,826,3,8,10,Clear,clear-day,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T14:00:00,24.6,24.6,11.6,44.15,0,0,,0,0,17.6,9.9,252,1024.1,12.6,10,801,2.9,8,10,Clear,clear-day,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T15:00:00,25.3,25.3,10.7,39.88,0,0,,0,0,16.9,4.7,272,1023.8,17.5,10,822,3,8,10,Clear,clear-day,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T16:00:00,25.9,25.9,10.2,37.28,0,0,,0,0,15.1,3.8,264.3,1023.6,23.6,10,793,2.9,8,10,Partially cloudy,partly-cloudy-day,"EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T17:00:00,26.1,26.1,14.8,49.77,0,0,,0,0,12.6,4.7,281.5,1023,22.7,24.1,732,2.6,7,10,Partially cloudy,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T18:00:00,26.2,26.2,14.6,48.84,0,0,,0,0,10.1,3.6,307.3,1022,23.7,24.1,604,2.2,6,10,Partially cloudy,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T19:00:00,26,26,14.5,49.1,0,0,,0,0,7.6,3.2,344.7,1022,11.6,24.1,454,1.6,5,10,Clear,clear-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24T20:00:00,25.4,25.4,14,49.26,0,0,,0,0,6.1,3.6,21.4,1021,3.6,24.1,295,1.1,3,10,Clear,clear-day,
